,movie,year,imdb,metascore,votes,n_imdb
2259,Parker,2013,6.2,42,101174,62.0
2260,Oculus,2013,6.5,61,100659,65.0
2261,The Call,2013,6.7,51,99737,67.0
2262,Nymphomaniac: Vol. I,2013,7.0,64,99667,70.0
2263,The Family,2013,6.3,42,98759,63.0
2264,Lee Daniels' The Butler,2013,7.2,66,98346,72.0
2265,Percy Jackson: Sea of Monsters,2013,5.9,39,97916,59.0
2266,Only God Forgives,2013,5.7,37,96085,57.0
2267,Out of the Furnace,2013,6.8,63,94906,68.0
2268,Homefront,2013,6.5,40,94336,65.0
2269,Stoker,2013,6.8,58,94079,68.0
2270,Epic,2013,6.7,52,92731,67.0
2271,Safe Haven,2013,6.7,34,91577,67.0
2272,The Counsellor,2013,5.3,48,89090,53.0
2273,Movie 43,2013,4.3,18,88815,43.0
2274,Filth,2013,7.1,56,88746,71.0
2275,The Best Offer,2013,7.8,49,88501,78.0
2276,Jobs,2013,5.9,44,85932,59.0
2277,Philomena,2013,7.6,77,85724,76.0
2278,Bad Grandpa,2013,6.5,54,83663,65.0
2279,Coherence,2013,7.2,65,80231,72.0
2280,Beautiful Creatures,2013,6.2,52,76705,62.0
2281,August: Osage County,2013,7.2,58,76338,72.0
2282,Only Lovers Left Alive,2013,7.3,79,75824,73.0
2283,Cloudy with a Chance of Meatballs 2,2013,6.4,59,75631,64.0
2284,The Bling Ring,2013,5.6,66,75184,56.0
2285,42,2013,7.5,62,74467,75.0
2286,Nymphomaniac: Vol. II,2013,6.7,60,73087,67.0
2287,Snitch,2013,6.5,51,72182,65.0
2288,Turbo,2013,6.5,58,70551,65.0
2289,The Kings of Summer,2013,7.2,61,70277,72.0
2290,Broken City,2013,6.2,49,69558,62.0
2291,Short Term 12,2013,8.0,82,68351,80.0
2292,Delivery Man,2013,6.4,44,67930,64.0
2293,The Great Beauty,2013,7.8,86,67892,78.0
2294,All Is Lost,2013,6.9,87,67483,69.0
2295,Machete Kills,2013,5.6,41,66746,56.0
2296,Horns,2013,6.5,46,66667,65.0
2297,21 & Over,2013,5.9,34,66584,59.0
2298,The Incredible Burt Wonderstone,2013,5.9,44,65522,59.0
2299,Fruitvale Station,2013,7.5,85,64923,75.0
2300,Dark Skies,2013,6.3,50,63823,63.0
2301,What If,2013,6.8,59,61496,68.0
2302,Europa Report,2013,6.5,68,60646,65.0
2303,Dead Man Down,2013,6.5,39,59573,65.0
2304,Old Boy,2013,5.8,49,59321,58.0
2305,Redemption,2013,6.2,43,58629,62.0
2306,Scary Movie 5,2013,3.5,11,56662,35.0
2307,Runner Runner,2013,5.6,36,56581,56.0
2308,The Wind Rises,2013,7.8,83,56303,78.0
2309,Blue Ruin,2013,7.1,77,54724,71.0
2310,Enough Said,2013,7.1,78,53996,71.0
2311,Blackfish,2013,8.1,83,53746,81.0
2312,Grudge Match,2013,6.4,35,51880,64.0
2313,Drinking Buddies,2013,6.1,71,51784,61.0
2314,The Frozen Ground,2013,6.4,37,49591,64.0
2315,The East,2013,6.8,68,45547,68.0
2316,Ida,2013,7.4,91,42597,74.0
2317,Bad Words,2013,6.7,57,42498,67.0
2318,The Big Wedding,2013,5.6,28,42445,56.0
2319,Chennai Express,2013,6.0,45,42270,60.0
2320,The Double,2013,6.5,68,41960,65.0
2321,Odd Thomas,2013,6.9,45,41703,69.0
2322,Joe,2013,6.9,74,40999,69.0
2323,The Zero Theorem,2013,6.1,50,40229,61.0
2324,The Lunchbox,2013,7.8,76,39666,78.0
2325,The Colony,2013,5.3,28,39179,53.0
2326,The Past,2013,7.8,85,39091,78.0
2327,A Haunted House,2013,5.1,20,38651,51.0
2328,Planes,2013,5.7,39,38505,57.0
2329,Dhoom 3,2013,5.4,61,38290,54.0
2330,Starred Up,2013,7.4,81,37527,74.0
2331,Labor Day,2013,6.9,52,36866,69.0
2332,Lovelace,2013,6.2,51,34562,62.0
2333,The Fifth Estate,2013,6.2,49,34542,62.0
2334,Interstellar,2014,8.6,74,1187482,86.0
2335,Guardians of the Galaxy,2014,8.1,76,855140,81.0
2336,Gone Girl,2014,8.1,79,708390,81.0
2337,Captain America: The Winter Soldier,2014,7.8,70,605601,78.0
2338,The Grand Budapest Hotel,2014,8.1,88,591828,81.0
2339,X-Men: Days of Future Past,2014,8.0,75,589239,80.0
2340,The Imitation Game,2014,8.0,73,579626,80.0
2341,Whiplash,2014,8.5,88,556805,85.0
2342,Edge of Tomorrow,2014,7.9,71,514399,79.0
2343,Kingsman: The Secret Service,2014,7.7,60,510346,77.0
2344,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,484638,77.0
2345,The Hobbit: The Battle of the Five Armies,2014,7.4,59,415522,74.0
2346,John Wick,2014,7.3,68,390234,73.0
2347,Ex Machina,2014,7.7,78,388695,77.0
2348,Divergent,2014,6.7,48,384011,67.0
2349,Lucy,2014,6.4,61,381720,64.0
2350,American Sniper,2014,7.3,72,380116,73.0
2351,Dawn of the Planet of the Apes,2014,7.6,79,374289,76.0
2352,Nightcrawler,2014,7.9,76,372977,79.0
2353,The Maze Runner,2014,6.8,57,367962,68.0
2354,The Amazing Spider-Man 2,2014,6.7,53,367853,67.0
2355,Fury,2014,7.6,64,359671,76.0
2356,The Hunger Games: Mockingjay - Part 1,2014,6.7,64,358761,67.0
2357,Big Hero 6,2014,7.8,74,340720,78.0
2358,The Theory of Everything,2014,7.7,72,334080,77.0
2359,Godzilla,2014,6.4,62,333239,64.0
2360,Boyhood,2014,7.9,100,304425,79.0
2361,22 Jump Street,2014,7.0,71,303022,70.0
2362,The Fault in Our Stars,2014,7.8,69,295767,78.0
2363,Maleficent,2014,7.0,56,288533,70.0
2364,The Lego Movie,2014,7.8,83,286755,78.0
2365,The Interview,2014,6.6,52,275703,66.0
2366,Transformers: Age of Extinction,2014,5.7,32,272632,57.0
2367,The Equalizer,2014,7.2,57,267317,72.0
2368,How to Train Your Dragon 2,2014,7.8,76,255333,78.0
2369,Neighbors,2014,6.3,68,253514,63.0
2370,300: Rise of an Empire,2014,6.2,48,251762,62.0
2371,Non-Stop,2014,7.0,56,224991,70.0
2372,Noah,2014,5.8,68,220724,58.0
2373,Predestination,2014,7.5,69,210798,75.0
2374,RoboCop,2014,6.2,52,199212,62.0
2375,Transcendence,2014,6.3,42,196587,63.0
2376,Teenage Mutant Ninja Turtles,2014,5.8,31,186866,58.0
2377,Chef,2014,7.3,68,164732,73.0
2378,It Follows,2014,6.8,83,164118,68.0
2379,Dracula Untold,2014,6.3,40,158166,63.0
2380,Taken 3,2014,6.0,26,156322,60.0
2381,The Judge,2014,7.4,48,156269,74.0
2382,The Babadook,2014,6.8,86,154750,68.0
2383,A Million Ways to Die in the West,2014,6.1,44,153818,61.0
2384,Need for Speed,2014,6.5,39,150011,65.0
2385,The Expendables 3,2014,6.1,35,148172,61.0
2386,Exodus: Gods and Kings,2014,6.0,52,145566,60.0
2387,Horrible Bosses 2,2014,6.3,40,136226,63.0
2388,Wild Tales,2014,8.1,77,135981,81.0
2389,Sin City: A Dame to Kill For,2014,6.5,46,132683,65.0
2390,Hercules,2014,6.0,47,130287,60.0
2391,The Drop,2014,7.1,69,125534,71.0
2392,Unbroken,2014,7.2,59,123983,72.0
2393,Foxcatcher,2014,7.0,81,121541,70.0
2394,Let's Be Cops,2014,6.5,30,117964,65.0
2395,Into the Woods,2014,6.0,69,117790,60.0
2396,The Other Woman,2014,6.0,39,117553,60.0
2397,The Purge: Anarchy,2014,6.5,50,116611,65.0
2398,The Monuments Men,2014,6.1,52,113630,61.0
2399,Dumb and Dumber To,2014,5.6,36,112144,56.0
2400,Still Alice,2014,7.5,72,109779,75.0
2401,Annabelle,2014,5.4,37,109122,54.0
2402,Jack Ryan: Shadow Recruit,2014,6.2,57,108686,62.0
2403,What We Do in the Shadows,2014,7.6,76,108594,76.0
2404,Wild,2014,7.1,76,104639,71.0
2405,Blended,2014,6.5,31,100902,65.0
2406,If I Stay,2014,6.8,46,100844,68.0
2407,The Giver,2014,6.5,47,100698,65.0
2408,A Walk Among the Tombstones,2014,6.5,57,100024,65.0
2409,The Raid 2,2014,8.0,71,98385,80.0
2410,I Origins,2014,7.4,57,97605,74.0
2411,Pompeii,2014,5.5,39,96306,55.0
2412,Sex Tape,2014,5.1,36,95904,51.0
2413,"Love, Rosie",2014,7.2,44,93268,72.0
2414,Ride Along,2014,6.2,41,89497,62.0
2415,That Awkward Moment,2014,6.2,36,88132,62.0
2416,St. Vincent,2014,7.3,64,86044,73.0
2417,Night at the Museum: Secret of the Tomb,2014,6.2,47,84135,62.0
2418,3 Days to Kill,2014,6.2,40,78096,62.0
2419,The Guest,2014,6.7,76,77899,67.0
2420,Inherent Vice,2014,6.7,81,77422,67.0
2421,Selma,2014,7.5,89,73941,75.0
2422,Paddington,2014,7.2,77,73377,72.0
2423,"I, Frankenstein",2014,5.1,30,72828,51.0
2424,Big Eyes,2014,7.0,62,71828,70.0
2425,Penguins of Madagascar,2014,6.7,53,69181,67.0
2426,Rio 2,2014,6.3,49,67642,63.0
2427,Frank,2014,7.0,75,66820,70.0
2428,A Most Wanted Man,2014,6.8,73,65180,68.0
2429,The Hundred-Foot Journey,2014,7.3,55,64938,73.0
2430,Seventh Son,2014,5.5,30,64053,55.0
2431,The Water Diviner,2014,7.1,50,63879,71.0
2432,This Is Where I Leave You,2014,6.6,44,62374,66.0
2433,Deliver Us from Evil,2014,6.2,40,61277,62.0
2434,"As Above, So Below",2014,6.2,38,60973,62.0
2435,Before I Go to Sleep,2014,6.3,41,59947,63.0
2436,Into the Storm,2014,5.8,44,59069,58.0
2437,The November Man,2014,6.3,38,56933,63.0
2438,Unfriended,2014,5.6,59,56742,56.0
2439,Two Night Stand,2014,6.4,45,56730,64.0
2440,The Book of Life,2014,7.3,67,56422,73.0
2441,The Gambler,2014,6.0,55,56399,60.0
2442,Magic in the Moonlight,2014,6.6,54,56285,66.0
2443,A Most Violent Year,2014,7.0,79,55928,70.0
2444,The Signal,2014,6.1,54,55753,61.0
2445,The Best of Me,2014,6.7,29,54879,67.0
2446,Mr. Peabody & Sherman,2014,6.8,59,54660,68.0
2447,Sabotage,2014,5.7,41,53414,57.0
2448,Calvary,2014,7.4,77,49900,74.0
2449,The Legend of Hercules,2014,4.2,22,49010,42.0
2450,Automata,2014,6.1,37,48830,61.0
2451,The Boxtrolls,2014,6.8,61,48551,68.0
2452,Vampire Academy,2014,5.5,31,47284,55.0
2453,Winter's Tale,2014,6.2,31,47166,62.0
2454,Walk of Shame,2014,6.0,25,46357,60.0
2455,Draft Day,2014,6.8,54,46101,68.0
2456,Citizenfour,2014,8.1,88,45846,81.0
2457,Veronica Mars,2014,6.8,62,45206,68.0
2458,The Cobbler,2014,5.8,23,44859,58.0
2459,The Voices,2014,6.4,58,44732,64.0
2460,Pride,2014,7.8,79,43961,78.0
2461,The Loft,2014,6.3,24,43837,63.0
2462,'71,2014,7.2,83,43597,72.0
2463,Stonehearst Asylum,2014,6.8,52,43082,68.0
2464,Tammy,2014,4.9,39,41822,49.0
2465,Ouija,2014,4.5,38,41435,45.0
2466,Leviathan,2014,7.6,92,40316,76.0
2467,Million Dollar Arm,2014,7.0,56,39707,70.0
2468,Hector and the Search for Happiness,2014,7.0,29,39673,70.0
2469,Mommy,2014,8.1,74,39397,81.0
2470,"Two Days, One Night",2014,7.4,89,39332,74.0
2471,Song of the Sea,2014,8.1,85,39289,81.0
2472,Before We Go,2014,6.8,31,39175,68.0
2473,While We're Young,2014,6.3,77,38867,63.0
2474,Kill the Messenger,2014,7.0,60,38732,70.0
2475,The Rover,2014,6.4,64,38415,64.0
2476,Tusk,2014,5.4,55,37217,54.0
2477,Laggies,2014,6.4,63,36548,64.0
2478,God's Not Dead,2014,4.8,16,36479,48.0
2479,Endless Love,2014,6.3,30,36173,63.0
2480,The Inbetweeners 2,2014,6.4,55,36108,64.0
2481,Brick Mansions,2014,5.7,40,36085,57.0
2482,Paranormal Activity: The Marked Ones,2014,5.0,42,35615,50.0
2483,The Skeleton Twins,2014,6.8,74,35511,68.0
2484,Time Lapse,2014,6.5,50,35286,65.0
2485,Camp X-Ray,2014,6.9,54,35203,69.0
2486,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,6.2,54,35132,62.0
2487,Wish I Was Here,2014,6.7,43,33531,67.0
2488,Maps to the Stars,2014,6.2,67,33100,62.0
2489,Winter Sleep,2014,8.2,88,32883,82.0
2490,Goodnight Mommy,2014,6.7,81,32366,67.0
2491,Pawn Sacrifice,2014,7.0,65,32178,70.0
2492,Cake,2014,6.4,49,31843,64.0
2493,The Salvation,2014,6.7,64,31007,67.0
2494,Left Behind,2014,3.1,12,30504,31.0
2495,Love & Mercy,2014,7.4,80,30428,74.0
2496,Cold in July,2014,6.8,73,30331,68.0
2497,Black Sea,2014,6.4,62,30072,64.0
2498,Star Wars: The Force Awakens,2015,8.0,81,745653,80.0
2499,Mad Max: Fury Road,2015,8.1,90,720438,81.0
2500,The Martian,2015,8.0,80,624278,80.0
2501,Avengers: Age of Ultron,2015,7.4,66,591795,74.0
2502,The Revenant,2015,8.0,76,564878,80.0
2503,Jurassic World,2015,7.0,59,503247,70.0
2504,Inside Out,2015,8.2,94,487635,82.0
2505,Ant-Man,2015,7.3,64,434376,73.0
2506,The Hateful Eight,2015,7.8,68,395205,78.0
2507,Spectre,2015,6.8,60,334621,68.0
2508,Spotlight,2015,8.1,93,328117,81.0
2509,Furious 7,2015,7.2,67,321717,72.0
2510,Sicario,2015,7.6,82,292554,76.0
2511,The Big Short,2015,7.8,81,283004,78.0
2512,Mission: Impossible - Rogue Nation,2015,7.4,75,279327,74.0
2513,Room,2015,8.2,86,278791,82.0
2514,Fifty Shades of Grey,2015,4.1,46,265101,41.0
2515,Bridge of Spies,2015,7.6,81,245949,76.0
2516,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,231511,65.0
2517,The Man from U.N.C.L.E.,2015,7.3,56,226402,73.0
2518,Terminator Genisys,2015,6.5,38,222661,65.0
2519,Chappie,2015,6.8,41,204522,68.0
2520,Spy,2015,7.0,75,203715,70.0
2521,Creed,2015,7.6,82,198138,76.0
2522,Insurgent,2015,6.2,42,188191,62.0
2523,Southpaw,2015,7.4,57,187845,74.0
2524,Maze Runner: The Scorch Trials,2015,6.3,43,186309,63.0
2525,Focus,2015,6.6,56,181694,66.0
2526,Minions,2015,6.4,56,179979,64.0
2527,The Intern,2015,7.1,51,179392,71.0
2528,San Andreas,2015,6.1,43,177264,61.0
2529,Everest,2015,7.1,64,171418,71.0
2530,Jupiter Ascending,2015,5.3,40,159517,53.0
2531,Straight Outta Compton,2015,7.9,72,156693,79.0
2532,Tomorrowland,2015,6.5,60,154610,65.0
2533,The Lobster,2015,7.1,82,154425,71.0
2534,Ted 2,2015,6.3,48,153629,63.0
2535,Black Mass,2015,6.9,68,148379,69.0
2536,Fantastic Four,2015,4.3,27,133267,43.0
2537,The Danish Girl,2015,7.1,66,133052,71.0
2538,Steve Jobs,2015,7.2,82,131203,72.0
2539,Cinderella,2015,6.9,67,131035,69.0
2540,The Witch,2015,6.8,83,129201,68.0
2541,The Age of Adaline,2015,7.2,51,127814,72.0
2542,Legend,2015,7.0,55,126655,70.0
2543,Pitch Perfect 2,2015,6.4,63,122366,64.0
2544,Trainwreck,2015,6.2,75,116444,62.0
2545,The Gift,2015,7.1,77,113666,71.0
2546,Crimson Peak,2015,6.5,66,112478,65.0
2547,Pixels,2015,5.6,27,112284,56.0
2548,Joy,2015,6.6,56,110583,66.0
2549,Brooklyn,2015,7.5,87,108747,75.0
2550,Me and Earl and the Dying Girl,2015,7.8,74,105366,78.0
2551,Get Hard,2015,6.0,34,104742,60.0
2552,The Walk,2015,7.3,70,103427,73.0
2553,In the Heart of the Sea,2015,6.9,47,101919,69.0
2554,The Visit,2015,6.2,55,94153,62.0
2555,Carol,2015,7.2,95,90918,72.0
2556,Run All Night,2015,6.6,59,89587,66.0
2557,Burnt,2015,6.6,42,88619,66.0
2558,Daddy's Home,2015,6.1,42,87807,61.0
2559,The Good Dinosaur,2015,6.7,66,86187,67.0
2560,Home,2015,6.6,55,82407,66.0
2561,Vacation,2015,6.1,34,82210,61.0
2562,Paper Towns,2015,6.3,56,82041,63.0
2563,The Last Witch Hunter,2015,6.0,34,80388,60.0
2564,Hotel Transylvania 2,2015,6.7,44,80229,67.0
2565,Green Room,2015,7.0,79,78675,70.0
2566,Hitman: Agent 47,2015,5.7,28,76639,57.0
2567,Self/less,2015,6.5,34,75143,65.0
2568,Insidious: Chapter 3,2015,6.1,52,75055,61.0
2569,Dope,2015,7.2,72,73438,72.0
2570,Concussion,2015,7.1,55,72280,71.0
2571,American Ultra,2015,6.1,50,72154,61.0
2572,Demolition,2015,7.0,49,71037,70.0
2573,Hardcore Henry,2015,6.7,51,70506,67.0
2574,Entourage,2015,6.6,38,68857,66.0
2575,Project Almanac,2015,6.4,47,68327,64.0
2576,Eye in the Sky,2015,7.3,73,67685,73.0
2577,The DUFF,2015,6.5,56,66054,65.0
2578,No Escape,2015,6.8,38,65772,68.0
2579,The Longest Ride,2015,7.1,33,65500,71.0
2580,Trumbo,2015,7.5,60,65236,75.0
2581,Goosebumps,2015,6.3,60,65031,63.0
2582,The Wedding Ringer,2015,6.7,35,64059,67.0
2583,Knock Knock,2015,4.9,53,63007,49.0
2584,Youth,2015,7.3,64,60214,73.0
2585,Bone Tomahawk,2015,7.1,72,59945,71.0
2586,Beasts of No Nation,2015,7.8,79,57810,78.0
2587,Mortdecai,2015,5.5,27,57235,55.0
2588,The Invitation,2015,6.7,74,57248,67.0
2589,Sisters,2015,6.0,58,56017,60.0
2590,Mr. Holmes,2015,6.9,67,55033,69.0
2591,Child 44,2015,6.5,41,54739,65.0
2592,The Night Before,2015,6.4,58,53611,64.0
2593,Anomalisa,2015,7.3,88,53281,73.0
2594,Pan,2015,5.8,36,52982,58.0
2595,Point Break,2015,5.3,34,50523,53.0
2596,Krampus,2015,6.2,49,50071,62.0
2597,Aloha,2015,5.4,40,49483,54.0
2598,Poltergeist,2015,4.9,47,49456,49.0
2599,Irrational Man,2015,6.6,53,46810,66.0
2600,Blackhat,2015,5.4,51,46535,54.0
2601,Macbeth,2015,6.6,71,46518,66.0
2602,True Story,2015,6.3,50,46488,63.0
2603,Magic Mike XXL,2015,5.6,60,46274,56.0
2604,The Little Prince,2015,7.8,70,45938,78.0
2605,Woman in Gold,2015,7.3,51,45353,73.0
2606,Solace,2015,6.4,36,44873,64.0
2607,Victor Frankenstein,2015,6.0,36,43932,60.0
2608,Wild Card,2015,5.6,40,43680,56.0
2609,Hot Pursuit,2015,5.1,31,42617,51.0
2610,The Dressmaker,2015,7.1,47,42079,71.0
2611,Man Up,2015,6.8,69,41238,68.0
2612,The SpongeBob Movie: Sponge Out of Water,2015,6.0,62,40765,60.0
2613,Victoria,2015,7.7,77,40762,77.0
2614,Amy,2015,7.8,85,40724,78.0
2615,The Man Who Knew Infinity,2015,7.2,56,38687,72.0
2616,Far from the Madding Crowd,2015,7.1,71,38479,71.0
2617,Scouts Guide to the Zombie Apocalypse,2015,6.3,32,37560,63.0
2618,Sinister 2,2015,5.3,32,37501,53.0
2619,The Colony,2015,7.1,33,37352,71.0
2620,Mr. Right,2015,6.3,52,37291,63.0
2621,The Peanuts Movie,2015,7.1,67,37233,71.0
2622,Maggie,2015,5.6,52,37012,56.0
2623,Son of Saul,2015,7.5,89,35779,75.0
2624,Dark Places,2015,6.2,39,35509,62.0
2625,The Ridiculous 6,2015,4.8,18,35171,48.0
2626,Slow West,2015,6.9,72,35086,69.0
2627,Ip Man 3,2015,7.1,57,34749,71.0
2628,The Lazarus Effect,2015,5.2,31,34652,52.0
2629,The Transporter Refueled,2015,5.2,32,34174,52.0
2630,The Gunman,2015,5.8,39,34148,58.0
2631,Last Knights,2015,6.2,27,33852,62.0
2632,Secret in Their Eyes,2015,6.3,45,33706,63.0
2633,Sleeping with Other People,2015,6.5,64,33124,65.0
2634,The Boy Next Door,2015,4.7,30,33012,47.0
2635,Hot Tub Time Machine 2,2015,5.1,29,33004,51.0
2636,A Man Called Ove,2015,7.7,70,32870,77.0
2637,Going Clear: Scientology & the Prison of Belief,2015,8.0,80,32252,80.0
2638,Suffragette,2015,6.9,67,31543,69.0
2639,Absolutely Anything,2015,6.0,31,31342,60.0
2640,High-Rise,2015,5.6,65,31047,56.0
2641,Regression,2015,5.7,32,30890,57.0
2642,Shaun the Sheep Movie,2015,7.4,81,30534,74.0
2643,The 33,2015,6.9,55,30099,69.0
2644,Love,2015,6.0,51,30010,60.0
2645,We Are Your Friends,2015,6.2,46,29964,62.0
2646,"McFarland, USA",2015,7.4,60,29531,74.0
2647,Paul Blart: Mall Cop 2,2015,4.4,13,28985,44.0
2648,The Stanford Prison Experiment,2015,6.9,67,28343,69.0
2649,Mustang,2015,7.6,83,28158,76.0
2650,The Final Girls,2015,6.6,59,27652,66.0
2651,The Second Best Exotic Marigold Hotel,2015,6.6,51,27330,66.0
2652,Deadpool,2016,8.0,65,744043,80.0
2653,Batman v Superman: Dawn of Justice,2016,6.6,44,537554,66.0
2654,Captain America: Civil War,2016,7.8,75,509198,78.0
2655,Suicide Squad,2016,6.1,40,482806,61.0
2656,Arrival,2016,7.9,81,455947,79.0
2657,Rogue One: A Star Wars Story,2016,7.8,65,432130,78.0
2658,Doctor Strange,2016,7.5,72,431424,75.0
2659,La La Land,2016,8.1,93,379660,81.0
2660,Zootopia,2016,8.0,78,348364,80.0
2661,Hacksaw Ridge,2016,8.2,71,324437,82.0
2662,X-Men: Apocalypse,2016,7.0,52,323151,70.0
2663,Fantastic Beasts and Where to Find Them,2016,7.4,66,307551,74.0
2664,Passengers,2016,7.0,41,276890,70.0
2665,Split,2016,7.3,62,269773,73.0
2666,10 Cloverfield Lane,2016,7.2,76,239520,72.0
2667,The Jungle Book,2016,7.4,77,226955,74.0
2668,The Nice Guys,2016,7.4,70,217229,74.0
2669,The Accountant,2016,7.4,51,213431,74.0
2670,Warcraft: The Beginning,2016,6.9,32,212302,69.0
2671,Moonlight,2016,7.4,99,197413,74.0
2672,Star Trek: Beyond,2016,7.1,68,196219,71.0
2673,Moana,2016,7.6,81,194524,76.0
2674,Finding Dory,2016,7.3,77,193706,73.0
2675,Now You See Me 2,2016,6.5,46,192823,65.0
2676,Manchester by the Sea,2016,7.8,96,190642,78.0
2677,Nocturnal Animals,2016,7.5,67,179885,75.0
2678,Sully,2016,7.5,74,179760,75.0
2679,Jason Bourne,2016,6.6,58,176796,66.0
2680,Ghostbusters: Answer the Call,2016,5.3,60,171560,53.0
2681,The Conjuring 2,2016,7.4,65,169106,74.0
2682,Don't Breathe,2016,7.1,71,162424,71.0
2683,Lion,2016,8.1,69,161826,81.0
2684,The Promise,2016,6.1,49,161643,61.0
2685,Hell or High Water,2016,7.6,88,155771,76.0
2686,The Magnificent Seven,2016,6.9,54,154478,69.0
2687,Assassin's Creed,2016,5.8,36,153586,58.0
2688,Hidden Figures,2016,7.8,74,151635,78.0
2689,Me Before You,2016,7.4,51,147846,74.0
2690,The Secret Life of Pets,2016,6.5,61,146796,65.0
2691,Independence Day: Resurgence,2016,5.2,32,146578,52.0
2692,Sausage Party,2016,6.2,66,145947,62.0
2693,Captain Fantastic,2016,7.9,72,141209,79.0
2694,The Legend of Tarzan,2016,6.3,44,139481,63.0
2695,War Dogs,2016,7.1,57,138542,71.0
2696,The Girl on the Train,2016,6.5,48,134759,65.0
2697,Miss Peregrine's Home for Peculiar Children,2016,6.7,57,129741,67.0
2698,Inferno,2016,6.2,42,123911,62.0
2699,Deepwater Horizon,2016,7.2,68,120814,72.0
2700,Central Intelligence,2016,6.3,52,120728,63.0
2701,London Has Fallen,2016,5.9,28,115812,59.0
2702,Allied,2016,7.1,60,111394,71.0
2703,Snowden,2016,7.3,58,105796,73.0
2704,Jack Reacher: Never Go Back,2016,6.1,47,105105,61.0
2705,Kung Fu Panda 3,2016,7.1,66,104412,71.0
2706,"Hail, Caesar!",2016,6.3,72,103666,63.0
2707,Sing,2016,7.1,59,99822,71.0
2708,The Great Wall,2016,6.0,42,99805,60.0
2709,Your Name.,2016,8.4,79,98790,84.0
2710,The Shallows,2016,6.3,59,96326,63.0
2711,Kubo and the Two Strings,2016,7.8,84,94193,78.0
2712,13 Hours,2016,7.3,48,94169,73.0
2713,Neighbors 2: Sorority Rising,2016,5.7,58,93038,57.0
2714,Nerve,2016,6.6,58,92641,66.0
2715,Dirty Grandpa,2016,5.9,21,92353,59.0
2716,Bad Moms,2016,6.2,60,91111,62.0
2717,Lights Out,2016,6.3,58,90514,63.0
2718,Train to Busan,2016,7.5,72,90242,75.0
2719,Gods of Egypt,2016,5.4,25,87307,54.0
2720,Allegiant,2016,5.7,33,85793,57.0
2721,The 5th Wave,2016,5.2,33,84549,52.0
2722,The Founder,2016,7.2,66,83265,72.0
2723,Swiss Army Man,2016,7.0,64,81493,70.0
2724,Why Him?,2016,6.2,39,81138,62.0
2725,Money Monster,2016,6.5,55,80842,65.0
2726,The Huntsman: Winter's War,2016,6.1,35,79712,61.0
2727,Silence,2016,7.2,79,76451,72.0
2728,Hunt for the Wilderpeople,2016,7.9,81,76243,79.0
2729,Fences,2016,7.2,79,76106,72.0
2730,The Brothers Grimsby,2016,6.2,44,75873,62.0
2731,The Edge of Seventeen,2016,7.4,77,73671,74.0
2732,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6.0,40,71783,60.0
2733,Alice Through the Looking Glass,2016,6.2,34,71305,62.0
2734,Collateral Beauty,2016,6.8,23,69824,68.0
2735,How to Be Single,2016,6.1,51,69079,61.0
2736,The Purge: Election Year,2016,6.0,55,68819,60.0
2737,Mike and Dave Need Wedding Dates,2016,6.0,51,68780,60.0
2738,Eddie the Eagle,2016,7.4,54,68721,74.0
2739,Sing Street,2016,8.0,79,67901,80.0
2740,Resident Evil: The Final Chapter,2016,5.6,49,67547,56.0
2741,Patriots Day,2016,7.4,69,66902,74.0
2742,The Neon Demon,2016,6.2,51,65214,62.0
2743,The Angry Birds Movie,2016,6.3,43,65162,63.0
2744,Midnight Special,2016,6.6,76,64227,66.0
2745,Hush,2016,6.6,67,63759,66.0
2746,The BFG,2016,6.4,66,63577,64.0
2747,A Monster Calls,2016,7.5,76,62805,75.0
2748,The Handmaiden,2016,8.1,84,62560,81.0
2749,The Autopsy of Jane Doe,2016,6.8,65,62399,68.0
2750,The Boy,2016,6.0,42,61953,60.0
2751,A Cure for Wellness,2016,6.4,47,61619,64.0
2752,Mechanic: Resurrection,2016,5.7,38,60583,57.0
2753,Jackie,2016,6.7,81,60177,67.0
2754,The Lost City of Z,2016,6.6,78,58306,66.0
2755,Trolls,2016,6.5,56,57538,65.0
2756,Underworld: Blood Wars,2016,5.8,23,57081,58.0
2757,Café Society,2016,6.6,64,57075,66.0
2758,The Infiltrator,2016,7.0,66,56879,70.0
2759,Triple 9,2016,6.3,52,56529,63.0
2760,Zoolander 2,2016,4.7,34,56284,47.0
2761,Bridget Jones's Baby,2016,6.6,59,53892,66.0
2762,The Finest Hours,2016,6.8,58,52349,68.0
2763,Office Christmas Party,2016,5.8,42,49464,58.0
2764,Elle,2016,7.2,89,49308,72.0
2765,Blood Father,2016,6.4,66,48320,64.0
2766,Criminal,2016,6.3,36,47475,63.0
2767,Paterson,2016,7.4,90,47345,74.0
2768,Keeping Up with the Joneses,2016,5.9,34,47015,59.0
2769,Storks,2016,6.8,56,46324,68.0
2770,Pete's Dragon,2016,6.7,71,45687,67.0
2771,Ride Along 2,2016,5.9,32,44838,59.0
2772,Everybody Wants Some!!,2016,7.0,83,44594,70.0
2773,Gold,2016,6.7,49,44474,67.0
2774,Colossal,2016,6.2,70,44432,62.0
